title,description,city,state,zipcode,salary,company,rating,reviews
Data Scientist,"About Live Objects
Live Objects delivers continuous business process optimizations to the enterprise through AI-driven automation of discovery, design and process engineering by mining patterns in business objects, cases, and transactions across all process variations. The product integrates deeply with business process management platforms (like SAP, Salesforce, etc.) and delivers continuous process engineering natively as on-demand compositions through the platform’s interfaces. Live Objects’ path-breaking process-calculus engine models predictive, diagnostic and quality-related projections for live cases in business processes. Its AI-driven on-demand process reengineering engine composes process enhancements with rule-based associations with business objects for delivering quantified time, process, margin, and cost efficiency gains. The on-demand compositions can be subject to review by functional subject matter experts in CRM, ERP, MRP, order-to-cash, etc. before deploying them into live business processes. Ongoing client engagements include self-optimizing a wide spectrum of business processes including master data management, order-to-cash, sales distribution, and supply-chain management. The company is based in Palo Alto and venture funded by The Hive. The Hive is a fund and co-creation studio for AI-powered enterprise applications.

About the Role
The Data Scientist will drive the design and development of key artificial intelligence (AI) components of the platform including named entity recognition in natural language text, classifying business process actions from unstructured data, sequence mining actions into business process models and risk/conformance modeling.

Responsibilities
As a Data Scientist of a fast-growing startup, the successful candidate will be leading the development of key aspects of Live Objects’ product:
Data mining using state-of-the-art methods
Selecting features, building and optimizing classifiers using machine learning techniques
Extending the company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Creating automated anomaly detection systems and constant tracking of its performance

About You
The successful candidate will have experience in working in innovative projects with fast-paced delivery schedules in startups & large enterprises:
Proven track record of analyzing large-scale complex data sets, modeling and machine learning algorithms
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Experience with common data science toolkits, such as R, Python (NumPy, SciPy, Pandas ), Matlab
Experience in deep learning frameworks (e.g., Tensorflow, MxNet), and Large-scale optimization preferred.
Experience with NLP toolkits such as NLTK, OpenNLP, Stanford CoreNLP, etc.
Proficiency in using query languages such as SQL
Experience with NoSQL databases, such as MongoDB, Cassandra
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
5 – 10 years of experience in Applied Machine learning
Educational background in a relevant field (Computer Science, Applied Math, Statistics)
Please send your resumes to jobs@liveobjects.ai",Palo Alto,CA,94301,,LIVE OBJECTS,,
"Senior Data Scientist, FP&A","The Senior Data Scientist, FP&A role is primarily responsible for developing new analytical capabilities across FP&A (and across finance), including the design of visual, predictive, and prescriptive analysis to drive business results.
TITLE
Senior Data Scientist, FP&A
LOCATION
Orrville, OH (Close proximity to Cleveland/Akron)
REPORTS TO
Vice President FP&A & U.S. Business Finance
POSITION SUMMARY
The Senior Data Scientist, FP&A role is primarily responsible for developing new analytical capabilities across FP&A (and across finance), including the design of visual, predictive, and prescriptive analysis to drive business results. This role will contribute to the identification and communication of key insights utilized by leadership and the broader finance team(s) to execute our financial strategy. The development of new financial processes, models, and visualizations will be a key component of the role. Contributions from this role directly link to the Corporate Financial Strength strategic initiative and the Finance Transformation initiative. In addition, the person in this role will be expected to connect with the Finance Technology team and broader Corporate data science initiatives in order to maintain community and develop best practices in Finance.
KEY RESPONSIBILITIES
Apply data science techniques on disparate financial data sources to simplify processes and generate insights to execute the Company’s financial strategy and initiatives
Develop financial models and predictive analytics, specifically contributing to the Company’s ability to deploy its annual plan, monthly forecast, and strategic long-range plan
Work cross functionally and engage across FP&A (Corporate, SBA, and Customer Finance teams) to elevate level of data driven insigh ts an d decision-making capabilities and present findings and assumptions to key stakeholders
Develop new capabilities including dashboards and flash reporting to support issue resolution, insight generation and decision making
Enhance financial analytical capabilities and insights effectiveness around product innovation, product margins, cost management and customer financials
Identify opportunities to leverage machine learning, text mining, driver-based planning
Collaborate with finance colleagues and business partners to ideate, identify, prioritize and deliver business opportunities
Identify new data sources , inclusive of external sources, to enhance results and unveil opportunities
Increase the capability across the finance organization by researching and sharing new analytic techniques and tools
Share analytics tools and techniques with the broader organization analytics team and business partners to enhance the organizational finance and analytics acumen
Partner with finance colleagues to present findings, assumption and recommendations to key stakeholders
SELECTION CRITERIA
Education
Bachelor's or Master’s degree in Data Analytics, Statistics, Applied Math, Computer Science, or related field
Certification in Finance a plus
Experience
4+ years in a Data Scientist / Statistician / Quantitative Analyst role
Experience with:
Statistical modeling, Machine Learning (supervised and unsupervised), Forecasting, dimensionality reduction
Python or R
SQL
Spotfire or Tableau
HTML, CSS, JavaScript
Knowledge of multiple business functional areas and financial processes
Proven ability to work independently and as part of a cross-functional team required
Leadership interactions
Ability to influence and implement change
Prior experience in financial analysis and modeling preferred
Prior experience working with financial data, systems, or statements preferred
Other
Passionately curious
Ability to “connect-the-dots” applying concepts/ideas/learnings from one project/functional group to another and/or combining ideas from several areas into a larger idea/project
Demonstrated ability of balancing and prioritizing numerous requests while providing visibility to stakeholders
ind123
#LI-123
The following questions are asked of all internal candidates. Your answers will not exclude you from applying. All internal candidates are required to discuss their interest in a new position with their manager prior to applying.",Orrville,OH,44667,,The J. M. Smucker Company,3.8,393 
BI Developer (Tableau),"**U.S. Citizens and those authorized to work in the U.S. are encouraged to apply. We are unable to sponsor at this time.**

This position is primarily responsible for leveraging data warehouse and business intelligence services to advance the use of data and analytics. This position will be responsible for working on and developing various data and analytics projects that improve services and inform decisions.
Major Duties and Responsibilities
Provide accessible data and business intelligence solutions that support decision-making and problem-solving.
Partner with departments to design and implement the Enterprise Data Architecture a scalable framework for accessing and publishing data across the organization.
Assist with the administration of the Business Intelligence Infrastructure (Warehouse, Tableau Server, SSRS).
Data Warehouse Administration - Support Kimball, Inmon and/or Linstedt data architecture (WhereScape Red).
Design and implement visual analytics and enterprise reporting solutions.
Maintain enterprise-wide data and analytics: Workflows, Documentation, Architecture, Metadata, ETL automation and QA/QC processes.
Attend project related meetings.
Work closely with customers to create reports and dashboards that support timely business decisions.
Design and deliver end-user training and provide coaching and technical assistance to customers.
Troubleshoot data anomalies.
Provide excellent customer service.
Knowledge, Skills & Abilities
Design and build analytics products using Tableau, SSRS, SharePoint or similar applications.
Build and maintain complex data and analytics solutions.
Extract, clean, manipulate and upload data.
Assist with the maintenance of development, test and production server environments.
Build, test, deploy data solutions.
Provide technical assistance to a broad range of users at all skill levels.
Implementing and managing data server upgrades.
Problem solve issues with data professionals with diverse skillsets utilizing multiple data visualization and management tools.
Broad knowledge in a general professional or technical field.
Strong Customer Service Skills.
Self-motivated Learner and Leader.
Ability to work in a collaborative environment - remotely or onsite.
Ability to understand complex business, technical and business requirements, to customize solutions to meet customer needs.
Data Warehousing, Data Architecture, and Server Administration Skills.
ETL Skills: extract data, transform into desired architecture, and load data Database Administration Skills: Microsoft SQL databases, SQL Server Reporting Services, SQL.
Knowledge of business intelligence and data visualization techniques and best practices.
Technical skills to develop SQL Server Reporting Services reports and Tableau dashboards.
Analytical thinking and problem-solving skills with ability to analyze data and troubleshoot issues.
Training, Technical Writing and Presentation Skills.
Preferred Qualification
Skilled in the use of WhereScape Red and 3D a plus.
Skilled in the administration of Tableau Enterprise Server a plus.
Knowledge of the application of spatial data utilization is a plus.
Phython, JavaScript, HTML5, CSS3, jQuery, D3, and other programming languages a plus.
Minimum Qualifications
Bachelor's degree with three (3) years of relevant work experience. Must have a degree in Computer Science or related field

**U.S. Citizens and those authorized to work in the U.S. are encouraged to apply. We are unable to sponsor at this time.**",Charlotte,NC,28202,"$97,000 a year",Vaco,3.7,272 
Search & Information Retrieval Engineer / Scientist (SIGIR 2020),"Summary
Posted: Jul 29, 2020
Role Number:200182145
Imagine what you could do here. At Apple, great ideas have a way of becoming great products, services, and customer experiences very quickly. Combining groundbreaking machine learning techniques with next-generation hardware, our teams take user experiences to the next level.
We are looking for scientists and engineers to join our teams in Cupertino, Seattle, Pittsburgh, Cambridge (UK), and Greater China.
Key Qualifications
Strong background in search engine core engineering, information retrieval, data management and artificial intelligence
Strong programming experience in one or more of the following: Python, Java, C/C++, Go
Knowledge of machine learning fundamentals such as feature extraction, learning algorithms, training and evaluation
Strong programming skills with proven experience crafting, prototyping, and delivering advanced algorithmic solutions
Creative, collaborative, and innovation focused
Description
Our teams are creating groundbreaking technology in the areas of algorithmic search, machine learning, knowledge bases, NLP, and artificial intelligence. The experiences we build are redefining how hundreds of millions of people use their computers and mobile devices to find what they are looking for. Our technologies power features across a variety of Apple products, including Siri, Spotlight, Safari, Messages, Lookup, Maps, Music, and News.
As a member of a search team at Apple, you will use your deep understanding of search, information retrieval, and artificial intelligence to tackle meaningful technical problems, collaborate with the most innovative product development teams in the world, and transfer your ideas into solutions in the next generation of Apple products and services. You will perform fundamental research by defining, designing, implementing and evaluating algorithms involving unrivaled data and objectives. You will also actively engage with the academic community by collaborating with universities, publishing and presenting your work, and attending conferences.
Education & Experience
PhD, MS, or BS in Machine Learning, Computer Science, or related fields.",Santa Clara Valley,CA,95014,,Apple,4.2,9782 
Machine Learning Engineer,"At Sisu, we're building a software platform that empowers people to make better decisions using data. Based on years of cutting-edge research at Stanford, Sisu enables users to quickly and comprehensively understand what’s driving their key metrics, so they never miss a window of opportunity to act.

Sisu leverages the massive amounts of data available within private, first-party data warehouses, which capture a real-time, structured view of organizational behavior. By monitoring the performance of key metrics like revenue, retention, and churn, and their relationships to interactions between key factors like user demographics, campaigns, and acquisition channels, we can help users make better decisions. The key problem Sisu solves is to help identify what’s driving change among this enormous feature and hypothesis space. To do so, we combine statistical analysis and machine learning at scale to provide users personalized, real-time diagnoses of changes in their metrics via an explainable, interpretable user interface.

As a machine learning engineer, you’ll have the opportunity to shape the future of machine learning on massive, structured data. Much like public search engines rely on sophisticated models for ranking and relevance over unstructured text, machine learning is integral to Sisu’s value proposition of ranking and highlighting key drivers behind metrics derived from structured data. These results inform our users on how to take action as their businesses are changing.

You will be responsible for investigating and developing state-of-the-art algorithms in Sisu’s large-scale streaming structured data context. ML engineers at Sisu deliver their features end-to-end, from Jupyter notebook prototypes to production in Rust.
Responsibilities
Deliver state-of-the-art, scalable algorithms to production for forecasting time series, personalized ranking, robust statistical analysis of key customer business metrics
Build and maintain the infrastructure for data and model management
Work closely with the Sisu design and engineering teams for ML-adjacent components, such as viz and data processing
Give talks, write blog posts, and produce peer-reviewed publications
Preferred Qualifications
Either 2+ years of full-time software engineering experience, 2+ years of professional experience with ML or quantitative analysis, or Ph.D. in Computer Science, Electrical Engineering, Statistics, Mathematics, or Physics
Proficiency with Python and experience with data processing tools (e.g., scipy, numpy, pandas, Pytorch, and Spark)
Competency with forecasting deadlines, modular design, testing, code review, and working with new codebases
Strong technical communication skills
Please note that this is a full-time, non-remote role based in San Francisco.

Sisu is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.",San Francisco,CA,,,Sisu,4.4,8 
Database Administrator,"The Database Administrator is responsible for maintenance and support of the databases located in the government facility. The DBA is also responsible for the design, creation, and maintenance of computerized databases. They are also responsible for the quality control and auditing of databases to ensure accurate and appropriate use of data.

Essential Duties and Responsibilities:
Works with management to develop database strategies to support organization requirements.
Consults with and advises users on access to various databases.
Works directly with users to resolve data conflicts and inappropriate data usage.
Directs the maintenance and use of the corporate data dictionary.
Provides Tier 2 or Tier 3 support as necessary.
Assists in troubleshooting issues resulting from or impacting databases.
JOB REQUIREMENTS
Qualifications:
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill and ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Education and/or Experience/Skills Required:
Bachelor’s Degree
Must have a minimum of 2-5 years of experience engineering solutions in database installation, configuration, administration, and maintenance.
Experience with OpenText Documentum, STARLIMS, and Qlik is preferred.
Experience with Agile projects is preferred.
Microsoft SQL experience required
DoD security clearance may be required
Abilities:
Ability to organize, prioritize and meet deadlines
Capable of conveying complex information in a simplistic manner
Strong critical thinking and problem-solving skills
Strong self-starter requiring minimal supervision
Able to take proactive measures to prevent problems rather than reactive by nature
Strong verbal and written communication to effectively express concepts, plans, and proposals
Proficient problem-solving skills
Works well individually as well as in a team environment
Enjoys the challenges of dynamic research and development project
Must be a US Citizen
Physical Requirements:
Work may involve sitting or standing for extended periods of time. Position may require typing and reading from a computer screen. Must have enough mobility, including but not limited to bending, reaching, and kneeling to complete daily duties in a timely and efficient manner. May include lifting weigh up to thirty (30) pounds as necessary.
Security Clearance:
DoD security clearance may be required
Company Summary:
Headquartered in Hawaii, Galapagos Federal Systems, LLC is a SBA Certified NHO 8(a) Small Business specializing in global information technology and offering professional solutions in IT Design & Installation, Cybersecurity Engineering & Support, Application Integration & Development, Software & Hardware Engineering, Network & Systems Management, Information Systems Security, and Business Management Services.
Leveraging over 30 years of providing IT services to the federal & commercial market with projects located around the world, our team possesses innovative expertise in the development of a wide range of technology solutions. Galapagos Federal Systems, LLC is an equal opportunity employer.
Our service commitment is simple - ""Quality IT Solutions... On Time & On Budget.""
Galapagos Federal Systems, LLC reserves the right to change or modify job duties and assignments at any time. The above job description is not all encompassing. Positions functions and qualifications may vary depending on business needs.
Galapagos Federal Systems, LLC is an equal opportunity employer and does not discriminate against applicants based on race, color, creed, religion, medical condition, legally protected genetic information, national origin, sex (including pregnancy, childbirth or related medical condition), sexual orientation, gender identity and expression, age, disability, or Vietnam era, or other eligible veteran status or legally protected characteristics.",Omaha,NE,,,"Galapagos Federal Systems, LLC",,
"Autopilot, Deep Learning Engineer/Scientist","The Role
As a member of the Autopilot AI team you will research, design, implement, optimize and deploy deep learning models that advance the state of the art in perception and control for autonomous driving. A typical day to day includes reading deep learning code/papers, implementing described models and algorithms, adapting them to our setting, driving up internal metrics, working with downstream engineers to integrate neural networks to run efficiently in the car on our chip, and incrementally tracking and improving feature performance based on fleet telemetry. A strong candidate will ideally possess at least one strong expertise in the following areas, and at least a familiarity in others.

Responsibilities
Train machine learning and deep learning models on a computing cluster to perform visual recognition tasks, such as segmentation and detection
Develop state-of-the-art algorithms in one or all of the following areas: deep learning (convolutional neural networks), object detection/classification, tracking, multi-task learning, large-scale distributed training, multi-sensor fusion, etc.
Optimize deep neural networks and the associated preprocessing/postprocessing code to run efficiently on an embedded device

Requirements
The team operates in a production setting. An ideal candidate has strong software engineering practices and is very comfortable with Python programming, debugging/profiling, and version control.
We train neural networks on a cluster in large-scale distributed settings. An ideal candidate is very comfortable in cluster environments and understands the related computer systems concepts (CPU/GPU interactions/transfers, latency/throughput bottlenecks during training of neural networks, CUDA, pipelining/multiprocessing, etc).
We are at the cutting edge of deep learning applications. The ideal candidate has a strong understanding of the under the hood fundamentals of deep learning (layer details, backpropagation, etc). Additional requirements include the ability to read and implement related academic literature and experience in applying state of the art deep learning models to computer vision (e.g. segmentation, detection) or a closely related area (speech, NLP).
Experience with PyTorch, or at least another major deep learning framework such as TensorFlow, MXNet.
Some experience with data science tools including Python scripting, numpy, scipy, matplotlib, scikit-learn, jupyter notebooks, bash scripting, Linux environment.
Tesla participates in the E-Verify Program",Palo Alto,CA,,,Tesla,3.5,4469 
Beta Program Manager,"Skydio is the world leader in autonomous flight, the key technology for the future of drones and aerial transportation. The Skydio team combines deep expertise in artificial intelligence, best-in-class hardware and software product development, and operational excellence to empower a broader, more diverse audience of drone users - from action sports enthusiasts to first responders to insurance claims adjusters.

As a Beta Program Manager you will be responsible for the design and execution of the end-to-end Beta Program. Working with cross functional teams to help provide testing and consumer feedback in order to drive product decisions. This role will work closely with the Product and Testing team to help aggregate data and pull out key trends.

This candidate will have a strong background and understanding in program and product management and experience leading high quality tech products. A strong candidate will dive into creating a strong beta platform and process.
How You’ll Make an Impact:
Collaborate with product and program leadership to improve the way we track product features and testing
Manage a broad range of beta programs including software, hardware, and marketing initiatives
Design, oversee and manage project surveys, tests, and plans for the beta program
Create processes that allow us to test products thoroughly and provide insights into future product features
Evolve and improve the processes for beta testing, providing visibility and oversight into customer feedback
Ensure a balanced and fully aligned perspective on testing progress and issues is effectively communicated throughout the company
Desired Qualifications:
2-5 years of relevant work experience in program, project, or product management
Strong written and verbal communication skills
Consumer electronics experience
Ability to manage multiple beta projects simultaneously for different platforms
Strong analytical and quantitative skills with the ability to use data and metrics to drive product decisions
Experience running beta software programs
Experience working in an Agile environment
Previous experience working on high quality tech programs and/or products
Ability to work in a fast-paced environment where continuous innovation is desired
At Skydio we believe that diversity drives innovation. We have created a multi-disciplinary environment that embraces the power of diverse perspectives to create elegant solutions for complex problems. We are committed to growing our network of people, programs, and resources to nurture an inclusive culture across race, gender, age, religion, disability, sexual orientation, experience, neurodiversity, and background. Together, our goal is to ensure that autonomous drones are deployed ethically and effectively across all industries.",Redwood City,CA,,,Skydio,4.0,2 
"Machine Learning Modeler, Growth","Company Description

Square builds common business tools in unconventional ways so more people can start, run, and grow their businesses. When Square started, it was difficult and expensive (or just plain impossible) for some businesses to take credit cards. Square made credit card payments possible for all by turning a mobile phone into a credit card reader. Since then Square has been building an entire business toolkit of both hardware and software products including Square Capital, Square Terminal, Square Payroll, and more. We’re working to find new and better ways to help businesses succeed on their own terms—and we’re looking for people like you to help shape tomorrow at Square.

Job Description

As a MLE within the Growth Data Science team, you will lead projects that help with Square’s growth. The team exists to surface the right messages to the right sellers at the right time across all our go-to-market channels (web app, in-app, notifications, sms, email, mail) and products. We provide sellers with remarkable personalized experiences using machine learning/deep learning to power the best product/feature/content recommendations.
Our algorithms obtain value from our unique, rich, and growing data. We partner with business, product, operations and engineering teams to guide better decisions, automated and human, using modeling and machine learning. We’re a passionate team of specialists, statisticians, and optimizers who are resourceful in distilling questions, wrangling data, and driving impactful business decisions.
You Will:
Lead and drive cross functional machine learning/data science projects from beginning to end: build relationships with partner teams, frame and structure questions, collect and analyze data, research, prototype, and build out data science pipelines and models in production, as well as summarize and present methodology and key insights
Use and learn a diverse set of techniques spanning machine learning (including deep learning), causal inference, and other forms of statistical modeling to solve import business and product problems
Collaborate with business leaders, subject matter experts, and decision makers to develop success criteria and optimize new products, features, policies, and models
Help build the next generation of data products at Square

Qualifications

You Have:
5+ years industry experience in data science or machine learning-focused roles
An advanced degree (M.S., PhD.), preferably in Statistics, Computer Science, Physical Sciences, Economics, or a related technical field
A strong track record of performing data analysis using Python (numpy, pandas, scikit-learn, etc.) and SQL
Familiarity with Linux/OS X command line, version control software (git), and general software development
Experience using statistics and machine learning to solve complex business problems
The versatility and willingness to learn new technologies on the job
The ability to clearly communicate complex results to technical and non-technical audiences
Additional Information

At Square, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. Applicants in need of special assistance or accommodation during the interview process or in accessing our website may contact us by sending an email to assistance(at)squareup.com. We will treat your request as confidentially as possible. In your email, please include your name and preferred method of contact, and we will respond as soon as possible.

Perks

At Square, we want you to be well and thrive. Our global benefits package includes:

Healthcare coverage
Retirement Plans
Employee Stock Purchase Program
Wellness perks
Paid parental leave
Flexible time off
Learning and Development resources",Oakland,CA,,,Square,3.7,100 
Senior Data Engineer,"Polarr is looking for Data Engineer to ensure our team always have access to the right data at the right time to make key product decisions.

You have:Played a key role in scaling data stack in high growth consumer products.Led engineering, product, and design team to architect and instrument analytics, feature flagging, A/B testing capabilities in deep and complex UI/UX flows.Created robust data pipeline and interfaces that allow cross-domain analysis (such as combining performance, user events, revenue, etc) reliably and cost effectively.Engineered automated presentation layers with internal team or 3rd party tools to help the company understand business goals and their trajectories.

You will:Architect and evolve Polarr's data stack to match the need of data and product team.Develop, construct, test and maintain large-scale data processing systems.Drive engineering and product team for data standardization and instrumentation.
Communicate cross-functionally with product, design, engineering and executives.

You are:
Highly proficient in modern database, data pipelines, tools and scripting languages.
Passionate about consumer product design and end user experiences.
Curious, skeptical and ready to drive deep into the weeds.
Mission: We help you express yourself visually and ignite the creative spark in others.

Vision: We imagine a world where there is no barrier to inspiration, no judgement to self-expression, no limit to where creativity can be applied.

Our Story: Polarr was founded by two Stanford alumni out of the frustration for overly complex creative workflows to make photos look good. Today, Polarr has more than 5 million monthly active users who share their creative process and artistic styles with each others. Our company raised a $12m Series A in 2019 from Threshold (formerly DFJ), Pear.vc who previously invested in Twitter, Patreon, Doordash, etc. We’re looking to grow our users and product lines to build a new ecosystem of community-made visual styles to unleash everyone’s creativity.

Our Values:https://www.notion.so/polarr/Values-e1f864cb8720437683923ea5cce791a8

You can find more about how it is like to work at Polarr with additional resources such as perks at our careers page.",San Jose,CA,95123,,Polarr,,
